"sample","HSC.like","Progenitor.like","GMP.like","Promono.like","Monocyte.like","cDC.like","HSC.Prog","GMP","Myeloid","Myeloid.like","Exhausted.T.cells","Cytotoxicity","Stroma","Cytolytic_score","Apoptosis","MHC2","Proliferation","SASP","Cellular_senescence","T.cell.senescence"
"BA2409R",-0.0166189433496154,0.329403467327854,0.236364486855646,0.356636140099518,0.414638665843113,0.254347516291041,0.242681290722597,0.349514684232852,0.460175566661052,0.44295206543508,0.125049077345897,0.245631938992935,-0.159470270472345,0.242379724122463,0.276662554670853,0.223991924176995,0.0523385073530912,-0.20355700745892,0.205368324641582,0.09054374848128
"BA3037R",0.0349362753354668,0.346991468343062,0.154170174946206,0.179637553486031,0.0975330825238175,0.0630589586689064,0.284757521821165,0.243924195922849,0.188202594193947,0.223381436352406,0.0236636939817152,-0.016092856341819,-0.123170526551898,-0.00226533587529437,0.291970393630145,0.0861771633671695,0.0488200379382789,-0.174162974594807,0.186900689732518,-0.0700106544047552
"BA2496R",-0.0711478460341523,0.307825403643037,0.288682290204884,0.399333965807663,0.428541748554102,0.200253488161196,0.205725617219612,0.406242982259151,0.4624571845696,0.448129223052015,0.0797184362555386,0.252158797801951,-0.213863810538515,0.253212964001346,0.279320399237412,0.195025517357411,0.294873233116446,-0.157836072009422,0.181779098674742,0.0493934466064787
"BA2865R",-0.0155822645716531,0.380117529919369,0.23541959023295,0.2579217409824,0.111739382709117,0.077819138140252,0.302767666725462,0.357278904774975,0.227212832462987,0.278984408632339,0.00996690784676657,-0.0557250196254346,-0.25346268154545,-0.0525513064932152,0.232858584725805,0.0280831136784252,-0.0178626063189671,-0.293043014973922,0.0611413297444813,-0.0162152563599319
"BA2286R",0.0435665760324679,0.368371859198376,0.288375900458415,0.287054928459409,0.268149063207741,0.175548108771036,0.292088257460353,0.39957248962414,0.384477885713216,0.398030958129785,0.100258006618431,0.313681731524055,-0.183723060244117,0.314063025681283,0.301076595267467,0.19646262127755,0.193821771676831,-0.226165105714766,0.163451653301931,0.0693377446307407
"BA2922R",-0.00326042493803996,0.386228304796861,0.218044251099261,0.20382582431412,0.172884496602841,0.0812306483164845,0.288635355365628,0.333133717593632,0.279347520916391,0.298805847230801,0.0522799932693926,0.33442861949086,-0.193564365689078,0.335224851407424,0.232656723113155,0.115998822275812,0.133105227731658,-0.201972688015254,0.145526084599712,0.0371969569524664
"BA2887R",-0.0335486898144806,0.38456638878585,0.205547759378801,0.19694088946543,0.176757070395119,0.128309488748494,0.263195591403022,0.286097179595944,0.275780036311228,0.271370280944092,0.0749845756912895,0.166748906582931,-0.169264846071889,0.141168554446563,0.225804642817091,0.0735516796590208,0.147240296163339,-0.152262912904492,0.154143068094731,-0.0132899680367857
"BA2068R",0.0155341402183241,0.368613459323324,0.221903358592946,0.277701407578075,0.153340071499429,0.0291964813943145,0.268548658659782,0.332769834734802,0.230181368970745,0.266135100230221,0.0156935330080206,0.219244140405966,-0.184797846688723,0.185454749355164,0.252820455310082,0.0412063260613538,0.0227833642686682,-0.293947338904156,0.14155404773921,-0.0135983850165424
"BA2236R",-0.0281166534324695,0.355808652701041,0.226634858265507,0.356924625839803,0.30650607370805,0.100304876732205,0.270510291893163,0.403862148697091,0.390341961929362,0.403994235124562,0.0428739693757362,0.129505439049008,-0.169498495298978,0.0905125042054503,0.217001233598744,0.011735180303965,0.084795112896975,-0.168351466547025,0.239406344043814,0.00296267219948043
"BA2449R",-0.0587838975913761,0.332619921516565,0.383974179062588,0.3117059381595,0.148372545716585,0.100112709386835,0.18419041204988,0.434203741131655,0.220205139723361,0.267933816235237,-0.00753267149026865,-0.107558595940339,-0.17490046542926,-0.0702141976000897,0.224963552764383,0.228408389882788,0.170227629673445,-0.211268296786495,0.004915979737939,-0.0857959961868446
"BA2360R",-0.0502719025963089,0.377777181234259,0.257914678641594,0.232829290015296,0.184994478447227,0.163504182338741,0.248095826050703,0.322762016451664,0.328466880041926,0.312310255114455,0.0366874193729317,0.130851183133341,-0.18854558029122,0.133935179993271,0.270315128406415,0.224777073635803,0.209670181736594,-0.195985923391846,0.110880577207051,0.0325052804725322
"BA2235R",0.0565601514312984,0.353819722379493,0.213282346337356,0.36903134620225,0.326550246130234,0.169403072086506,0.307671749808915,0.344233184453261,0.413072042225841,0.415877739719617,0.0916876998149083,0.228395200179433,-0.177339763360063,0.214511607042727,0.274834585622967,0.180275923952667,0.0662645073122973,-0.238117604172509,0.201592553131834,0.0835062337613787
"BA2858R",-0.0722206180771112,0.315612736963355,0.333424548601366,0.371255977850491,0.409614988676138,0.123932823478099,0.206524702147106,0.433694305129293,0.436711774945252,0.427873547082936,0.0581300129003309,0.188101379387686,-0.102459859062786,0.154379275541101,0.284041718066614,0.117968706185856,0.375614457339833,-0.0221243901071168,0.224518215293744,0.00497205555244018
"BA3038R",-0.025533979803813,0.316747525429023,0.314105622602676,0.337288234041317,0.37644636606959,0.193331145360562,0.214552966769826,0.420218163368848,0.427667658674453,0.445387163793588,0.0940770654551573,0.13705282045531,-0.173152769210639,0.122956151171919,0.227004597958955,0.151344568448208,0.241968711118363,-0.114526667040547,0.174115404026243,0.0468606889848409
"BA2667R",0.0583487732300264,0.359552234435095,0.205882215361587,0.28717690565161,0.363218971680985,0.20154467998739,0.311653811822181,0.331493125732964,0.428335860145619,0.424206861699141,0.12159964103427,0.383054839071437,-0.151423391091422,0.351575642032074,0.245048783223057,0.240655319387583,0.150666979419504,-0.19996074252706,0.153516888166134,0.111235724032225
"BA2239R",-0.0566443690496242,0.305165361863298,0.181478622883338,0.344401634107146,0.400769273962603,0.180727990361404,0.23107451533762,0.292179221664962,0.454601605929586,0.449460010855934,0.084227943238544,0.0446226309296849,-0.16109646909288,0.043119883368846,0.249287877088707,0.158642252257305,0.205335835356028,-0.195137681565812,0.197442942858745,0.0657021626572459
"BA2782R",0.00292154928334809,0.30834276956717,0.199763775844326,0.400090998857674,0.426067344226702,0.191476406600193,0.253459583406828,0.312874799344595,0.472571920564509,0.46682576225504,0.0821078018957877,0.0582819333856678,-0.175199536439933,0.0486150050465404,0.270718851631715,0.167608378666368,0.160013869908418,-0.0498640008973137,0.261378717359203,0.0606179554758033
"BA2649R",-0.110090473784259,0.370822026122098,0.313041444475629,0.289271815524018,0.141357366125742,0.107594280754332,0.161834741753925,0.35887167203134,0.307657177082748,0.329496322084339,0.0105053564417522,0.211461253784905,-0.192975569636816,0.200257934282831,0.289626556016598,-0.00676490381919131,0.276143757521366,-0.298307722505748,0.231228621095721,-0.0185517486308155
"BA2488R",-0.0680358045188768,0.366766072509322,0.310286275610441,0.298667931615327,0.166509442791098,0.116772970475323,0.201267845784627,0.374065340885462,0.332343197259813,0.375731371778314,0.0840260250154243,0.285690254569923,-0.17799398119591,0.27370191768532,0.244757205338118,0.0268352868599629,0.0847900136659392,-0.311395883573552,0.178582777248173,0.0402717807809492
"BA2861R",-0.0636484676403827,0.353473184826536,0.309282907662083,0.299002884857403,0.351271828850581,0.200311786119904,0.224398548284506,0.369039598772363,0.424452056076516,0.417270294046082,0.0442313085422626,0.0637770550633621,-0.217340511037589,0.0682740832118426,0.265066726477515,0.211667881778924,0.142574499765435,-0.265121137345073,0.166816202172003,0.0133180059440363
"BA2909R",-0.0350646069443442,0.282664824974132,0.38636214800262,0.337295978624949,0.36441125273738,0.13720964377788,0.17898166113454,0.414922108274904,0.418526213337825,0.424012203567485,0.0749509226541029,0.164685432320287,-0.193414830183742,0.166760121116968,0.288505102612986,0.157457517806068,0.192123727741856,-0.13165273961079,0.141451242079291,0.0148507448737359
"BA2106R",0.0738227580066892,0.390560024208821,0.19979418093367,0.191463532691824,0.0513466973627567,0.0872677258182226,0.319850445509891,0.332127321572639,0.19584479757426,0.241499616298875,0.0433955914521286,-0.00995850622406641,-0.166339557748743,-0.00723337445329147,0.240675114948974,0.163556446637878,0.0298254023293287,-0.298511020133475,0.0883194078393988,0.015392811080581
"BA2841R",-0.0764575663514522,0.371454091095449,0.267485265225933,0.271561888903948,0.26699234469463,0.147964537567637,0.231389873268872,0.36828688108724,0.319503247421716,0.312422557882718,0.0687026754164564,0.254424133677246,-0.171087310043178,0.261455646517887,0.354906358640798,0.214850541192306,0.23727741856528,-0.194752117099434,0.187386680124862,0.0299351389745603
"BA2446R",-0.0162780625135349,0.322133499931669,0.210957526429039,0.366636333714109,0.329196848035637,0.205105173835876,0.17969789779196,0.296152822483386,0.427154809366051,0.438211016901566,0.0708396432778058,0.243546035662218,-0.239892334436158,0.227172815969496,0.300695301110239,0.221117716336717,0.294985416199237,-0.202820929841288,0.151030860389914,0.0315519916260116
"BA2357R",0.0101241608315888,0.342854981355303,0.295114136027692,0.301304962341962,0.378776648511052,0.123814068377028,0.237606166049313,0.389820429007494,0.406811162895165,0.402586707095663,0.0821863256492231,0.223987888303241,-0.0684966074132227,0.187170573062689,0.289985421105753,0.216652178789748,0.347242335855753,0.0636952498457742,0.226443484924952,0.0631787510046916
"BA2546R",-0.0352811665343247,0.326172370707327,0.258721582935728,0.334058742666847,0.427094914556311,0.189645418860037,0.189800041691388,0.368006171453286,0.466307297808224,0.444745166301683,0.0826125974535868,0.355792306829651,-0.111983401558908,0.336021083323988,0.215644274980375,0.132802422746901,0.224814897913395,-0.162196455611015,0.130404306622554,0.0948615861978728
"BA2316R",-0.061721488325834,0.291252611233674,0.203784264196838,0.350124881411063,0.385862953188463,0.28510508746853,0.155899064081801,0.282474985652619,0.466473880247815,0.447962640612424,0.0126703685007572,-0.0353706403498934,-0.278304267369484,-0.037546259952899,0.273836492093753,0.227090460434075,0.240489934117935,-0.259442824294768,0.248256976765921,0.0196545729826726
"BA2329R",-0.10665760324679,0.31471466781203,0.278522312657873,0.386592189587407,0.391747618245456,0.208644075847804,0.150211931219901,0.415668587968161,0.449029516910925,0.44252157149007,0.0833024847159123,0.172367388135023,-0.127815473186415,0.153358752943815,0.25668946955254,0.209571813134429,0.245303608215881,-0.254353373338568,0.186881997794351,0.0829548215854502
"BA2072R",0.00960080848913591,0.327248589445735,0.281357002525961,0.27985633797363,0.383126509068449,0.239207320496267,0.22830310707738,0.360497708577655,0.446742283863964,0.444689014917551,0.113276123170116,0.24578894246944,-0.212321725639732,0.241056409106202,0.250768195581474,0.21528517749986,0.169274073469721,-0.240052436767427,0.226135067945195,0.0798332679115498
"BA2995R",0.0885849033903606,0.337290857265575,0.214276358873608,0.204635133303646,0.235940629269845,0.171344178193109,0.302516449390397,0.288498806464223,0.303005970763846,0.308508806408745,0.0661338269112121,4.485813614441e-05,-0.160217947999028,-0.0158573511270606,0.269911405181115,0.240248724132129,0.11760356538234,-0.27347036060793,0.178648199031758,-0.0507392661545075
"BA2069R",-0.0727279289684545,0.314302239315906,0.209411544578539,0.400116168754477,0.222217230988077,0.192739529038861,0.201128874492888,0.300752301818998,0.392443895408689,0.422864843618395,0.0322396096247686,0.115229337221038,-0.169386343669975,0.109465066726478,0.254558708085679,0.240017385452302,0.398566096232688,-0.210826650215916,0.164890932540795,0.0356642180227668
"BA2681R",0.0285517777938192,0.379536713457371,0.24093460566938,0.305289550620535,0.387601774383739,0.168530761889545,0.352554131990657,0.400474919114039,0.426305051752859,0.415516499148371,0.0210780189578775,0.218279690478861,-0.173292958746892,0.216081641807783,0.300437366827408,0.234563400818799,0.204448569155771,-0.147194492737368,0.186610964690929,0.00903755210377766
"BA2413R",0.0673259703072739,0.367786161925773,0.225505192253719,0.189424771050746,0.188210081045164,0.128395856094728,0.336815633201311,0.326893646397352,0.283530799034196,0.316092986692122,0.0294183633406249,0.0943815184479085,-0.149329894016711,0.0838398564539644,0.237557474486935,0.179890359486288,-0.00384482020111365,-0.137884863440076,0.121600403745864,-0.036823118189125
"BA2677R",0.0176897102111857,0.359095878643525,0.287370193657031,0.394911808553893,0.363576468826623,0.18949859437144,0.264037436727974,0.422927531169166,0.435307990341962,0.436320586969136,0.0580290537887711,0.218178759672536,-0.10635712817062,0.189435908937984,0.219446002018616,0.217149907464528,0.255476574132621,-0.187167012506309,0.170199442980243,0.0598422400418699
"BA2937R",-0.0112971919439833,0.350583744948361,0.304967723828235,0.391374469980058,0.391803769629588,0.188140467851915,0.275157812591868,0.438888473022765,0.442807943549142,0.430565070095645,0.0199001626563463,0.0713468655377368,-0.145927961270304,0.0440731187619154,0.247291690030279,0.213013852279738,0.276730169090501,-0.135368179014077,0.161339464289052,-0.0029252883231462
"BA2050R",0.0106695701693175,0.37879727065071,0.243671063710356,0.326379987995895,0.217833679600202,0.124137945925405,0.264296671637563,0.398123196180685,0.304276863758025,0.351434667864563,0.0034606539906894,-0.067814287316362,-0.238836239929718,-0.0592575978468095,0.281159582819334,0.120485390611856,0.243452587349828,-0.314038752734003,0.151227125740668,-0.0520850857025365
"BA2953R",0.0574384208795528,0.3913165498526,0.241369632332304,0.268218164920908,0.297656615568907,0.172613778182745,0.307532778517176,0.35330530395655,0.404143972148913,0.395485428715818,0.0201245162375904,-0.0272401031737131,-0.193601749565412,-0.0114612537849052,0.250218683413704,0.218348662441815,0.244033899687927,-0.174688744321687,0.146170956466476,-0.0288603525299538
"BA2481R",-0.0782221259735155,0.316115460455672,0.31335251192815,0.348246819880346,0.312860538678945,0.0494129179639762,0.207476120990545,0.396378637788923,0.322018829430812,0.355559922885432,-0.00212575018228728,-0.100549512167769,-0.0710480569730275,-0.0741056409106202,0.274060782774476,0.0403300431832202,0.312786831745773,-0.183430542313948,0.127890240939083,-0.0688984840838147
"BA2294R",-0.00155802593902643,0.33540198356143,0.352984376461783,0.298712462971209,0.274625189510921,0.110848170523688,0.22381059281946,0.397568014904642,0.381355868755498,0.382102682164449,0.0752818441864379,0.330481103510149,-0.217219013439504,0.290153639116295,0.26960861276214,0.172361336997364,0.190986599220837,-0.19180079636588,0.136320305052431,0.050748612123591
"BA2816R",0.023320259550679,0.330440639581422,0.234208064365235,0.282741195376484,0.262522694517753,0.209255124822407,0.229837136336182,0.320790811022116,0.383403522563498,0.406253392479458,0.120045992484155,0.364887293932937,-0.111366567599394,0.349949534596838,0.268846024447684,0.240928719645561,0.186815428233422,-0.106114351410465,0.199620553655209,0.0600478513617078
"BA2631R",0.020342565188447,0.373399094121552,0.234470015904201,0.315930608530659,0.303913751473974,0.121877280637737,0.305114143535964,0.337664579018722,0.376495030602504,0.380446216332566,0.0733916652644567,0.151362565885387,-0.167208732873512,0.135482785690255,0.252203655938096,0.140114127082048,0.127878515919799,-0.219014637429196,0.0939643731658535,0.0502345838239967
"BA2023R",-0.132616681505009,0.288338767302474,0.186060435962204,0.390630989951403,0.413760832537855,0.187954778057512,0.1231606347781,0.264850579301511,0.456873865274112,0.452437905927714,0.0736440630433564,0.180408209038914,-0.131843585861418,0.155848379499832,0.272872042166648,0.163184902697549,0.207671283170498,-0.172368347260389,0.258014168489131,0.0563561935737117
"BA2485R",-0.000910352350473653,0.379309755764237,0.176894470951445,0.267796085112974,0.0631478465944185,-0.00135812651952555,0.263281112197938,0.333221049479752,0.202738315832819,0.274744979130402,-0.0719838465421504,0.0103510149153303,-0.16696573767734,0.00829875518672196,0.235606145564652,-0.197808591778364,0.22843025271789,-0.278664965509506,0.194900839268024,-0.135105329071571
"BA2025R",0.000417077728851356,0.327397454169188,0.206471606324259,0.325828186412128,0.213700937728115,0.21264072479477,0.169932492022513,0.285367334547662,0.392258595841054,0.422608418964194,0.0654327219698244,0.268666591903106,-0.170171405072992,0.205158685656611,0.315274195357183,0.212207672031855,0.287555836579844,-0.282513599910269,0.143441933494084,0.00686928727639768
"BA2156R",-0.0382668816221116,0.371944612561254,0.237288333801104,0.20556835563128,0.141720478409793,0.103837301193165,0.271680857773573,0.325219785246733,0.263267636213899,0.257484043648343,0.0755735038420551,0.351867219917013,-0.274986448344829,0.339620948749579,0.27652798026242,0.155683921260726,0.153155404165052,-0.201159497504346,0.128731378156601,0.0864595599917756
"BA2655R",0.00353513478829293,0.336783252962652,0.251835999625784,0.315355573195996,0.341754169240272,0.13180736627096,0.261108349502109,0.375283828629887,0.398757182697887,0.389093529488835,0.0817544450053285,0.265986318268476,-0.161311426381802,0.259156667040484,0.335123920601099,0.120226010879928,0.356997164827544,-0.0764539285513993,0.169012504906634,0.0460475896745733
"BA2227R",0.0150188086014261,0.379187735499112,0.281649359154271,0.272218242366745,0.12243622138619,0.0747487789816427,0.300148592381166,0.369966980229725,0.227106144833137,0.285424972392236,0.0493073083179091,0.0161937871481439,-0.192227892110133,0.0145564651788719,0.258887518223618,0.202968145364814,0.0762131070634547,-0.240213672817004,0.14171292921363,0.005196358810445
"BA2125R",0.019971606631536,0.349102418929736,0.307617644307232,0.339361846308738,0.30707320268778,0.150704541626902,0.258505310306859,0.405802164167311,0.394336197053924,0.387790817376982,0.090335969487913,0.258562296736571,-0.140432531449186,0.214343389032186,0.220735673432769,0.205940496887443,0.377628653599037,-0.240865627278335,0.145376549094376,0.0419634011850689
"BA2523R",-0.0115217722595186,0.373186778860233,0.269566844419497,0.284379174814614,0.104357347408614,0.0528460199767672,0.280588383069021,0.401566567690529,0.234956108334737,0.28898871357179,-0.00425150036457456,-0.045239430301671,-0.131581898727079,-0.0469440394751598,0.243893686217338,0.0171891649374685,0.319171069002794,-0.228184061465986,0.129039795136358,-0.0286267033028655
"BA2603R",-0.0442423221604626,0.343135627965092,0.245892974085508,0.341090824604542,0.40258109195725,0.143922545763898,0.256589109995777,0.34202701466344,0.426658805472888,0.423800700020589,0.0431039317965113,0.0600874733654817,-0.226434138955868,0.0545138499495347,0.286049119659078,0.135010655599798,0.164297223978624,-0.226908193595424,0.181078150993476,-0.00457952485093177
"BA2594R",0.0493374880691707,0.355032603814842,0.230236691926279,0.325003388255339,0.402639115054186,0.184048814824091,0.297973157160496,0.355357603280352,0.43601549778202,0.431324985494226,0.06535980705592,0.335168778737243,-0.271145255051496,0.308579118537625,0.234854771784232,0.196245303123773,0.287662920431599,-0.185014861757613,0.149815884409054,0.0533374455597301
"BA2561R",-0.135818956182776,0.261425977626364,0.272565253999439,0.413179345195454,0.241733580399423,0.120622794933691,0.144083831759216,0.32440052898171,0.366513186216707,0.397813839444476,-0.076291435302036,-0.0131097902882135,-0.145301781341707,-0.00123359874397216,0.260076258831446,0.194689024732208,0.188834723723662,-0.193826762380125,0.228536981999664,-0.095459728219219
"BA2474R",0.0122596790105634,0.376984049510943,0.190455140798952,0.314443648473349,0.386460029573062,0.164832080287085,0.301650551341875,0.325117898046261,0.431167761618657,0.427617122428735,0.0674182511638342,0.107435236065941,-0.176442550328044,0.107233374453291,0.249747672984188,0.181523750771129,0.0622310155628532,-0.221152767651842,0.140582066954522,0.0404026243481187
"BA2110R",-0.0428146330117022,0.295523320513071,0.175926185798484,0.361873414780538,0.437131038613435,0.161688308884177,0.234596903078214,0.284290241285525,0.46841297471316,0.465257266924963,0.0411520556396882,0.141325557923068,-0.131264135778239,0.134383761354716,0.294190871369295,0.143514104649206,0.0880892161462051,-0.172101957265437,0.240266173199499,0.0543094263444176
"BA2992R",0.00369554929938964,0.326277308135335,0.269658059687529,0.306209219926814,0.374404327400004,0.200765214687631,0.185590815066626,0.341482230040505,0.45518370861175,0.451105246410991,0.0694430422345617,0.129875518672199,-0.1046655077665,0.119760008971627,0.246203880228776,0.185070943861814,0.297091398617089,-0.238923784420391,0.225817304996355,0.0364866633021178
"BA2220R",3.60932649967616e-05,0.33408172429277,0.203482552156422,0.225785591202153,0.290145432084901,0.125288790813969,0.243563223920166,0.307189909424358,0.377586239167462,0.345271117599715,-0.00788041954119695,0.282449254233487,-0.120394773734088,0.23820791746103,0.307278232589436,0.00552408726375408,0.387704734126094,-0.131007795412484,0.211359090824128,0.0212246957887063
"BA2676R",-0.0578434675200719,0.325159602506784,0.319859201047806,0.341683285252377,0.375523611657027,0.108939452171923,0.205511815232323,0.453998968652012,0.425575083759148,0.420092836955098,0.0234225138818779,0.130929684871594,-0.158077721078899,0.132163283615566,0.250510261298643,0.0484969996074253,0.337640483815041,-0.210483147327688,0.098730817398456,0.0220191031608067
"BA2811R",-0.0754028409409915,0.368991722145214,0.301510899055103,0.285300780266801,0.0880472420311827,0.131861345862356,0.142469626755181,0.331341334597566,0.264323282235574,0.314865143092444,-0.00913679959616354,0.199775709319278,-0.19642423222864,0.177918582482898,0.325535494000224,0.0408908642252257,0.220149101515491,-0.327253098536257,0.19891026000486,-0.00312155367390043
